"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2019","2019",652,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",633,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2021","2021",605,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2022","2022",609,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2023","2023",664,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2024","2024",617,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2019","2019",630,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",561,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2021","2021",612,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2022","2022",616,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2023","2023",608,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2024","2024",571,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1282,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1194,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2021","2021",1217,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2022","2022",1225,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2023","2023",1272,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2024","2024",1188,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2019","2019",763,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",713,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2021","2021",668,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2022","2022",742,,
